Network,Address,Name,Solidity Version,Txcount,Create Date
mainnet,0x66bb4da2b9191240483a97d01a97e4d95d602f47,PortalFactory,0.8.13,5,7/08/2022
mainnet,0x3fb6caf9e285ac8e9dee0082b150af77fd7e2867,EnvelopeFactory,0.8.17,2,10/01/2022
mainnet,0xbbc5ce8645ef37fe1f99ab2c427699459c1687f2,CreepzAggregator,0.8.7,3,3/26/2022
mainnet,0xdeaf946d59ae0661db64d5f6cb2829ef85c0682b,Factory,0.8.16,3,12/21/2022
mainnet,0xa4603c75b9a3f3b5946aa3651e18b7798e31d223,NoDecimalsFactoryClone,0.8.7,4,9/30/2022
mainnet,0xb835085cd507c656e109d64357a5a11130d0333e,MNTFactory,0.8.13,13,3/13/2023
mainnet,0xfeb0944e45938a959ef896b1b13346d33b7ec783,LockerFactory,0.8.12,9,4/11/2022
mainnet,0x11f1a4fcdf820529f0f99131e3baa696697a76d5,MetaverseNFTFactory,0.8.9,175,5/21/2022
mainnet,0x9c319dc47ca6c8c5e130d5aef5b8a40cce9e877e,UniV3VaultGovernance,0.8.9,73,12/20/2022
mainnet,0xd3a731358564c6cf22c5bb5e2e57bac796a77ddc,NamelessTokenFactory,0.8.3,17,5/28/2021
mainnet,0x6d154fe2e5bb75e5e5b341adcc01431dcf448360,LoanPoolFactory,0.8.17,10,3/13/2023
mainnet,0x866d4b65694c66fbfd15dd6fa933d0a6b3940a36,OptimismRootGaugeFactory,0.7.1,27,8/24/2022
mainnet,0xa98bce70c92ad2ef3288dbcd659bc0d6b62f8f13,PolygonRootGaugeFactory,0.7.1,91,8/24/2022
mainnet,0x1c99324edc771c82a0dccb780cc7dda0045e50e7,ArbitrumRootGaugeFactory,0.7.1,80,8/24/2022
mainnet,0xf1665e19bc105be4edd3739f88315cc699cc5b65,LiquidityGaugeFactory,0.7.1,188,8/24/2022
mainnet,0xf3af57a995e23ff9bdc5accfa15cbfcf6923039c,Factory,0.8.4,5,7/11/2022
mainnet,0x5bfffe081bef0a86389230c1661ed1ad6672f978,VestedERC20Factory,0.8.11,2,1/31/2022
mainnet,0x211851d6e747faadaa5d15b2f4b3cbfb6de1d512,AzukiUpgradeableFactory,0.8.7,47,5/21/2022
mainnet,0x0000000042dbfe4eca8f719a3693b363adb44a02,ERC721SeaDropCloneFactory,0.8.17,30,3/14/2023
mainnet,0x2a311a7d3fbeb79f91374e1eed4a87fbbbe2cc08,MetaverseNFTFactory,0.8.9,11,3/29/2022
mainnet,0x0556fc83f154874adccd86d77586b8fafe73fbe4,ERC2981Factory,0.8.6,1,11/10/2021
mainnet,0x266def95453201e13f0da5e8e2899b7eb938790b,DSProxyFactory,0.5.15,1,1/13/2023
mainnet,0xc6a6bdad97248f92096f9d62a2ee413d438b97f4,AaveStakingFactoryV2,0.8.8,1,1/30/2022
mainnet,0x61b98acbfc23326cfe296f380b5aa3e5adcc5238,NinfaFactory,0.8.17,1067,1/28/2023
mainnet,0x23384dd4380b3677b829c6c88c0ea9cc41c099bb,ConcentratorStrategyFactory,0.7.6,49,12/21/2022
mainnet,0xc507e905f71605488c506f5c4b531d6db7fb0862,RektPepeRenaissance,0.8.9,518,7/11/2022
mainnet,0x3bb38cd4c801cb0bed481bc3fc4b14b06d81c5d2,Distributor,0.8.6,18,8/19/2021
mainnet,0x7d828b27e2df83b16d5bd38c0cc44832f10dce5a,Factory,0.8.7,6,2/01/2022
mainnet,0x3730d9b06bc23fd2e2f84f1202a7e80815dd054a,InstaVestingFactory,0.7.3,2,5/30/2021
mainnet,0x5fd31de528fb1cc17e895a9214ea6d2df17e2463,VaultFactory,0.8.6,3,8/18/2021
mainnet,0x4ddbac6ff11a37bf5f66914ff03b2af72ef2ac2b,ChocoFactory,0.8.0,39,11/12/2021
mainnet,0xafa0c207869e8a9f9451b37de39bbd7addfb81b6,WalliroProxyFactory,0.8.7,2,2/02/2022
mainnet,0xb12dd69f92aa39ad9ec5878e5c8410ac8204b6b6,VestingFactory,0.8.9,3,10/07/2022
mainnet,0xd568766ae4c66863e7c272b4b7c7834b28c89011,EscrowFactory,0.8.16,31,11/14/2022
mainnet,0x39f0a631ef2966550d7ee93fdef2f1682e8ada45,StakingFactory,0.8.9,35,2/02/2022
mainnet,0x000000008924d42d98026c656545c3c1fb3ad31c,ERC721SeaDropCloneFactory,0.8.17,9850,3/16/2023
mainnet,0xa91cf95af2c57aa1d5f4461a5aa6cb2e027e42d8,FlairFactory,0.8.9,13,7/14/2022
mainnet,0x050cbf2c95dfd60fc36b1117984b470a4d31a422,GovernorInitializer,0.8.4,1,3/16/2023
mainnet,0xb94c06b81d11bf68cbafe3694272bfc1d4edd9f1,TinyProxyFactory,v0.4.21,3,4/04/2018
mainnet,0x4b2c45c3f393b803c57106c81e4e64ce71914b8e,VerifyTierFactory,0.8.10,5,5/23/2022
mainnet,0x039ab991616b3b473f3096d385b6660c846f646a,VerifyFactory,0.8.10,5,5/23/2022
mainnet,0x4dce23a63ec3f27193df8ba26141b25417815c62,SaleFactory,0.8.10,1,5/24/2022
mainnet,0xcc3c579484f03616125eeabd094a8a04c3c31e85,NamelessTokenFactory,0.8.3,8,8/21/2021
mainnet,0xd2c0729dc1a7bbef0a770ba7f9f2dbae9a9e27d0,RedeemableERC20Factory,0.8.10,1,5/23/2022
mainnet,0x53f9810af32ac48b04debc6e8f32fc245eb88ce5,GatedNFTFactory,0.8.10,1,5/24/2022
mainnet,0xe7ce1af1e174f1526ee3f10c0cb0e01e0e47fd4e,EmissionsERC20Factory,0.8.10,2,5/24/2022
mainnet,0x4dd6bf4a433265d6b01ae18e77ef069cb29a0790,ERC721BalanceTierFactory,0.8.10,1,5/23/2022
mainnet,0xb681c35244a224fcf8c4eec0b139980705edf4fe,ERC20TransferTierFactory,0.8.10,2,5/23/2022
mainnet,0x50b2921a8c915a8228da39e93ad9e9aa43fbc901,ERC20BalanceTierFactory,0.8.10,1,5/23/2022
mainnet,0xb2d5a8f892b6dd2cee7bec1cfd9843004f6fb137,FairXYZCloner,0.8.7,7,5/24/2022
mainnet,0x36983711f9c4869f0b9beb2cf677814bb40d41c5,CombineTierFactory,0.8.10,2,5/23/2022
mainnet,0x4f1c53f096533c04d8157efb6bca3eb22ddc6360,FundDeployer,0.6.12,791,2/03/2022
mainnet,0x519204ec6318320842843d84ad1d776e905a73aa,PairFactory,0.8.11,38,3/31/2022
mainnet,0xd9cb76bcae7219fb3cb1936401804d7c9f921bcd,ProxyFactory,0.8.17,4,3/17/2023
mainnet,0xa99ba154223052b8c5fd92b3f5df9eb08b72d5fc,AaveStakingFactory,0.8.8,2,2/03/2022
mainnet,0x5f6f25143cd580e2e285210d7cfcb26e59cf9566,CompoundStakingFactory,0.8.8,2,2/03/2022
mainnet,0x803434b221eda8dea447b83465869a7df8fa1b6a,PoolTokenV1Factory,0.6.11,1,9/29/2021
mainnet,0x2fa1a3e783a97218dab9a1ab4c4eebb727c928b5,ProxyFactory,0.6.11,1,9/29/2021
mainnet,0xc05d000da39e21d7acbe504f9862a71c06bdcb99,LpAccountFactory,0.6.11,0,11/13/2021
mainnet,0xb630f3d76598ac75cd36cf0940f82f1f354b2610,OracleAdapterFactory,0.6.11,0,11/13/2021
mainnet,0xe118b2a82e2cdec744d4818cb7f1a17567f0f174,Erc20AllocationFactory,0.6.11,0,11/13/2021
mainnet,0x9a1b4b6f4a1a7c55d1a656a4ed076cd495e916d2,TvlManagerFactory,0.6.11,0,11/13/2021
mainnet,0x94acb502e2ac67fa7b0ae41c7c2460379fb269f2,DeedHashedCloneFactory,0.8.4,544,1/30/2023
mainnet,0xbb460e8269908bfd399141723b67838fe91d9324,PoolTokenV2Factory,0.6.11,0,11/13/2021
mainnet,0x9f6c6e963bc2aac5b63766c6e5d12b17a6f03bea,MetaPoolTokenFactory,0.6.11,0,11/13/2021
mainnet,0x00000000000dc7f163742eb4abef650037b1f588,ModuleProxyFactory,0.8.6,0,7/12/2022
mainnet,0x173dc0c4602d32e1bae154b06106bc3e74752b24,Factory,0.8.14,7,12/02/2022
mainnet,0xf39a43ce942b0ac611a77900661bbd17969f7f46,DefiiFactory,0.8.10,4,12/22/2022
mainnet,0x17af7e1a3737c0197cb4761a1807db01c8903a89,UniV3VaultConfigurableGovernance,0.8.9,3,11/16/2022
mainnet,0xca2f671cd71b31acd60e74a7c148715b053c7f05,GelatoLQTYWBTCArbFactory,0.8.14,2,11/16/2022
mainnet,0x93aad8d9941b0c034aca21f2a2c5317ec1397ee2,GelatoLQTYArbFactory,0.8.14,23,11/16/2022
