Network,Address,Name,Solidity Version,Txcount,Create Date
mainnet,0x00000000c2f8cb9a79739832b90d9718219833de,ERC721SeaDropCloneFactory,0.8.17,0,3/09/2023
mainnet,0x8e6b4e1e4182bcc7f0ffd9622c2ad2b22035a2a2,CollectionFactory,0.8.16,7,1/25/2023
mainnet,0xa1bc2cf69d474b39b91665e24e7f2606ed142991,MerkleAirdropFactory,0.6.12,3,5/17/2021
mainnet,0x5fe53a6ac5c36490687c76beb9d4d3073f60bc57,YieldSourcePrizePoolProxyFactory,0.6.12,1,8/05/2021
mainnet,0x24cacea2a37100cca2163f006bd1cf6fa5f85ccf,MultipleWinnersProxyFactory,0.6.12,1,8/05/2021
mainnet,0xc17f2c69ae2e66fd87367e3260412eeff637f70e,DssSpell,0.6.12,3,7/06/2022
mainnet,0x73f88bfc32f5946b0e0851ca53f277fe177bd87c,StashFactory,0.6.12,1,5/17/2021
mainnet,0x3c995e43e6ddd551e226f4c5544c77bfed147ab9,TokenFactory,0.6.12,1,5/17/2021
mainnet,0xedccb35798fae4925718a43cc608ae136208aa8d,RewardFactory,0.6.12,1,5/17/2021
mainnet,0x59ed56b31f8693ec7a2c68b78dd78630d5ed250f,ERC1155Factory,0.8.17,2,12/17/2022
mainnet,0x7d4a76af4b2d765d1d62ac87cc2aea0b7ecf6102,InstanceFactoryWithRegistry,0.7.6,0,7/06/2022
mainnet,0x3ea2748a32d53449bee93e2ae101e6d7179d7865,DssSpell,0.6.12,3,9/28/2022
mainnet,0xac65f96f0a0cf1a8c0370c9c07171e258d9ead5e,AccountFactory,0.8.17,1,11/07/2022
mainnet,0xef73ef9b63da44bcda779046caf28ea6bc482c1f,FirstDibsAuction,0.6.12,12,8/04/2021
mainnet,0x242817adf4b410f4eaaad0d2361ee4ae3ba7f28d,ERC1155Factory,0.8.17,2,12/17/2022
mainnet,0x94cb646dd34b3b0ff7c116208f7f7ff7ac216079,Indelible,0.8.14,2335,1/25/2023
mainnet,0xf934a8a9466d2c2e21679713824464288d83ba30,LendPoolAddressesProvider,0.8.4,21,7/04/2022
mainnet,0xa964d6e8d90e5cd12592a8ef2b1735dae9ba0840,Caviar,0.8.17,71,1/25/2023
mainnet,0x9ffcafa6474a8ac3eb0e8e499d985e6007338f18,ERC721AFactory,0.8.17,2,12/17/2022
mainnet,0x46852869902d9f8a4d76195fc23add15d921abd9,FirstDibsAuction,0.6.12,1190,8/06/2021
mainnet,0x8229e9bc30cb02c2d9af25022bc146a302c48c47,GmStudioCodeRepository,0.8.11,17,3/23/2022
mainnet,0x1771dff85160768255f0a44d20965665806cbf48,EmiFactory,0.6.12,5,1/23/2021
mainnet,0x00000000b8f8f18b708c8f7aa10f9ee7ea88049a,ERC721SeaDropCloneFactory,0.8.17,9,3/10/2023
mainnet,0x20de92a94b5b4ea6229a9bf6c4062d5d9a472b52,STARTHAUSFACTORY,0.8.13,4,3/23/2022
